TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
0,0.79708,0.035,0.639,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.09827126806210515, 'subsample': 0.6954755680490904, 'colsample_bytree': 0.7801598141841772, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
1,0.81203,0.251,0.452,"{'max_depth': 5, 'n_estimators': 1500, 'learning_rate': 0.0421035380911376, 'subsample': 0.8848941617650019, 'colsample_bytree': 0.8407034352275243, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
2,0.80812,0.413,0.397,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.013272956544854551, 'subsample': 0.9462999892862785, 'colsample_bytree': 0.784172597727117, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
3,0.80433,0.834,0.432,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.057108252774849225, 'subsample': 0.7756829997633642, 'colsample_bytree': 0.7192754864345796, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
4,0.80294,0.873,0.591,"{'max_depth': 3, 'n_estimators': 500, 'learning_rate': 0.031756011545207324, 'subsample': 0.6442877395269034, 'colsample_bytree': 0.7028635142355054, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
5,0.81019,0.530,0.449,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.015490027617800162, 'subsample': 0.8962747091174823, 'colsample_bytree': 0.872537074975324, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
6,0.80294,0.085,0.590,"{'max_depth': 5, 'n_estimators': 500, 'learning_rate': 0.04337981388848624, 'subsample': 0.7796788575831493, 'colsample_bytree': 0.6842626742157762, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
7,0.81445,0.172,0.484,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.025807217556115924, 'subsample': 0.6918158542615065, 'colsample_bytree': 0.8979514098318835, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
8,0.80709,0.045,0.412,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.0683695866528751, 'subsample': 0.9290154576385667, 'colsample_bytree': 0.8255437911802075, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
9,0.81238,0.067,0.539,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.01466886683702683, 'subsample': 0.6506716221627254, 'colsample_bytree': 0.6445727335154733, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
10,0.79903,0.612,0.354,"{'max_depth': 3, 'n_estimators': 1200, 'learning_rate': 0.019491386085497792, 'subsample': 0.711785982240205, 'colsample_bytree': 0.9821050792897983, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
11,0.81341,0.232,0.519,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.021688386277215616, 'subsample': 0.6124566324548403, 'colsample_bytree': 0.6090798776028706, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
12,0.81272,0.291,0.510,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.0230678476329061, 'subsample': 0.6022840244837833, 'colsample_bytree': 0.9540866515051025, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
13,0.81318,0.256,0.494,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.026092644522730656, 'subsample': 0.7214847067347743, 'colsample_bytree': 0.9200023955398937, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
14,0.80950,0.381,0.542,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.02970023491070647, 'subsample': 0.6096000492744179, 'colsample_bytree': 0.8986315253510426, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
15,0.81353,0.175,0.493,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.01894557967334078, 'subsample': 0.6686231790406965, 'colsample_bytree': 0.644258338488422, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
