TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
0,0.80985,0.680,0.516,"{'max_depth': 3, 'n_estimators': 1200, 'learning_rate': 0.056446035087006886, 'subsample': 0.8434284038885823, 'colsample_bytree': 0.8763038371744352, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
1,0.80225,0.226,0.611,"{'max_depth': 6, 'n_estimators': 500, 'learning_rate': 0.07899588487517792, 'subsample': 0.6484553677957784, 'colsample_bytree': 0.647222618521628, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
2,0.80410,0.161,0.371,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.014263415301917447, 'subsample': 0.8880120605051721, 'colsample_bytree': 0.6787942026670555, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
3,0.80168,0.801,0.515,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.07427370354842172, 'subsample': 0.7115283124382872, 'colsample_bytree': 0.9798141780631955, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
4,0.80893,0.097,0.555,"{'max_depth': 3, 'n_estimators': 1200, 'learning_rate': 0.06259333879987153, 'subsample': 0.701982073539379, 'colsample_bytree': 0.6656703954327653, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
5,0.81077,0.036,0.468,"{'max_depth': 3, 'n_estimators': 1200, 'learning_rate': 0.015082426107153758, 'subsample': 0.8750393220540298, 'colsample_bytree': 0.817063208093564, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
6,0.79880,0.898,0.647,"{'max_depth': 6, 'n_estimators': 1000, 'learning_rate': 0.08952340925878906, 'subsample': 0.8672073509661695, 'colsample_bytree': 0.9143301317950968, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
7,0.80663,0.430,0.379,"{'max_depth': 6, 'n_estimators': 1500, 'learning_rate': 0.014468646846179274, 'subsample': 0.6890000871133762, 'colsample_bytree': 0.9926042408515046, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
8,0.79512,0.886,0.379,"{'max_depth': 3, 'n_estimators': 500, 'learning_rate': 0.025119206018976836, 'subsample': 0.790113760302238, 'colsample_bytree': 0.7841999557601079, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
9,0.80893,0.994,0.500,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.012193532364488195, 'subsample': 0.8803796360699149, 'colsample_bytree': 0.8430949424236754, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
